1,al-Fatihah,"The Opening"
2,al-Baqarah,"The Cow"
3,Al-Imran,"The Family Of Imran"
4,an-Nisa',Women
5,al-Ma'idah,"The Food"
6,al-An`am,"The Cattle"
7,al-A`raf,"The Elevated Places"
8,al-Anfal,"The Spoils Of War"
9,at-Taubah,Repentance
10,Yunus,Jonah
11,Hud,Hud
12,Yusuf,Joseph
13,ar-Ra`d,"The Thunder"
14,Ibrahim,Abraham
15,al-Hijr,"The Rock"
16,an-Nahl,"The Bee"
17,Al-Isra,"The Night Journey"
18,al-Kahf,"The Cave"
19,Maryam,Mary
20,"Ta Ha","Ta Ha"
21,al-Anbiya',"The Prophets"
22,al-Hajj,"The Pilgrimage"
23,al-Mu'minun,"The Believers"
24,an-Nur,"The Light"
25,al-Furqan,"The Criterion"
26,ash-Shu`ara',"The Poets"
27,an-Naml,"The Ant"
28,al-Qasas,"The Narrative"
29,al-`Ankabut,"The Spider"
30,ar-Rum,"The Romans"
31,Luqman,Lukman
32,as-Sajdah,"The Adoration"
33,al-Ahzab,"The Allies"
34,Saba',Sheba
35,Fatir,"The Creator"
36,"Ya Sin","Ya Sin"
37,as-Saffat,"The Rangers"
38,Sad,Sad
39,az-Zumar,"The Companies"
40,Ghafir,"The Forgiving One"
41,Fussilat,"Revelations Well Expounded"
42,ash-Shura,"The Counsel"
43,az-Zukhruf,"The Embellishment"
44,ad-Dukhan,"The Evident Smoke"
45,al-Jathiyah,"The Kneeling"
46,al-Ahqaf,"The Sandhills"
47,Muhammad,Muhammad
48,al-Fath,"The Victory"
49,al-Hujurat,"The Chambers"
50,Qaf,Qaf
51,ad-Dhariyat,"The Scatterers"
52,at-Tur,"The Mountain"
53,an-Najm,"The Star"
54,al-Qamar,"The Moon"
55,ar-Rahman,"The Merciful"
56,al-Waqi`ah,"That Which is Coming"
57,al-Hadid,"The Iron"
58,al-Mujadilah,"She Who Pleaded"
59,al-Hashr,"The Exile"
60,al-Mumtahanah,"She Who is Tested"
61,as-Saff,"The Ranks"
62,al-Jumu`ah,"The Day of Congregation"
63,al-Munafiqun,"The Hypocrites"
64,at-Taghabun,"The Cheating"
65,"at-Talaq,","The Divorce"
66,at-Tahrim,"The Prohibition"
67,al-Mulk,"The Kingdom"
68,al-Qalam,"The Pen"
69,al-Haqqah,"The Inevitable"
70,al-Ma`arij,"The Ladders"
71,Nuh,Noah
72,al-Jinn,"The Jinn"
73,al-Muzammil,"The Mantled One"
74,al-Mudathir,"The Clothed One"
75,al-Qiyamah,"The Resurrection"
76,al-Insane,"The Man"
77,al-Mursalat,"The Emissaries"
78,an-Naba',"The Tidings"
79,an-Nazi`at,"Those Who Pull Out"
80,`Abasa,"He Frowned"
81,at-Takwir,"The Cessation"
82,al-Infitar,"The Cleaving Asunder"
83,Al-Mutaffifeen,"The Defrauders"
84,al-Inshiqaq,"The Rending"
85,al-Buruj,"the Constellations"
86,at-Tariq,"The Night-Comer"
87,al-A`la,"The Most High"
88,al-Ghashiya,"The Overwhelming Calamity"
89,al-Fajr,"The Dawn"
90,al-Balad,"The City"
91,ash-Shams,"The Sun"
92,al-Layl,"The Night"
93,ad-Duha,"The Early Hours"
94,ash-Sharh,"The Expansion"
95,at-Tin,"The Fig"
96,al-`Alaq,"The Clot"
97,al-qadr,"The Majesty"
98,al-Bayyinah,"The Proof"
99,Az-Zalzala,"The Shaking"
100,al-`Adiyat,"The Assaulters"
101,al-Qari`ah,"The Terrible Calamity"
102,at-Takathur,"Worldly Gain"
103,al-`Asr,Time
104,al-Humazah,"The Slanderer"
105,al-Fil,"The Elephant"
106,al-Quraish,"The Quraish"
107,al-Ma`un,"The Daily Necessaries"
108,al-Kauthar,Abundance
109,al-Kafirun,"The Unbelievers"
110,an-Nasr,"The Help"
111,Al-Masad,"The Palm Fibre"
112,al-Ikhlas,"The Unity"
113,al-Falaq,"The Daybreak"
114,an-Nas,"The Men"
